web-scraper-order,web-scraper-start-url,Headlines,pages,pages-href,Year,Year-href
"1706897226-1","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Does RIL set the stage for largecaps comeback? Not really, say analysts","","","",""
"1706897226-2","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","12.09 pm | 30 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-3","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Credit Suisse AT1 bond fallout hits India’s most valuable bank","","","",""
"1706897226-4","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","7.17 am | 30 Jan 2024 |   Source: Bloomberg","","","",""
"1706897226-5","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","LIC's proposed stake buyout in HDFC Bank 'well-timed', has limited downside","","","",""
"1706897226-6","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","5.47 pm | 29 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-7","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","HDFC Bank may open higher after LIC gets RBI nod to buy 4.8% additional stake","","","",""
"1706897226-8","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","8.29 am | 29 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-9","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","HDFC Bank may open higher after LIC gets RBI nod to buy 4.8% additional stake","","","",""
"1706897226-10","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","8.29 am | 29 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-11","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Bulls likely to back HDFC Bank, Greaves Cotton, Rain Industries for return up to 21% in short term","","","",""
"1706897226-12","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","7.42 am | 28 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-13","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","CAMS drops 2% after HDFC Bank sells 2% of share capital","","","",""
"1706897226-14","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","10.16 am | 24 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-15","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Trade Spotlight: Your strategy to deal in HDFC Bank, Sun Pharma, Chalet Hotels today","","","",""
"1706897226-16","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","6.11 am | 24 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-17","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","HDFC Bank gains after the big fall. CLSA says 'buy', FIIs warming up to the stock","","","",""
"1706897226-18","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","10.09 am | 19 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-19","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Buy HDFC Bank; target of Rs 1950: KR Choksey","","","",""
"1706897226-20","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","8.49 am | 19 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-21","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Gift Nifty, HDFC ADR shares show signs of positivity, trade higher","","","",""
"1706897226-22","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","9.43 pm | 18 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-23","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","HDFC Bank: Good opportunity for long-term investors amid 11% slide","","","",""
"1706897226-24","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","3.26 pm | 18 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-25","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Buy HDFC Bank; target of Rs 1762: LKP Research","","","",""
"1706897226-26","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","1.39 pm | 18 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-27","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","HDFC Bank shares remain under pressure; down 11% in 2 days as Q3 results disappoint","","","",""
"1706897226-28","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","7.49 am | 18 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-29","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Why this analyst sees more correction in HDFC Bank, predicts buying in IT stocks","","","",""
"1706897226-30","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","7.29 am | 18 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-31","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Trade Spotlight | Your game plan for HDFC Bank, Oracle Financial, Cochin Shipyard today","","","",""
"1706897226-32","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","6.16 am | 18 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-33","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","HDFC Bank ADR plummets for 2nd day after quarterly earnings, loses 7.5%","","","",""
"1706897226-34","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","11.34 pm | 17 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-35","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","HDFC Bank falls 8.2% in biggest drop since Covid; Bank Nifty loses over 4%","","","",""
"1706897226-36","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","5.11 pm | 17 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-37","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","Buy HDFC Bank; target of Rs 2100: Emkay Global Financial","","","",""
"1706897226-38","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","2.09 pm | 17 Jan 2024 |   Source: Moneycontrol.com","","","",""
"1706897226-39","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","HDFC Bank tremors rock banking stocks, Nifty Bank plunges 4%","","","",""
"1706897226-40","https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01","1.45 pm | 17 Jan 2024 |   Source: Moneycontrol.com","","","",""
